name,logo_url,website,detailed_deals,summarized_deals,menu_url,reviews_data,location,maps_url
Nicolinos,https://drive.google.com/file/d/19xqBh-6QOZgXxdq-o2T-i5cFsqvU4PyX/view?usp=sharing,https://www.nicolinosrestaurant.com/,"Special Offers (not available with other promotions)
Nick's Pick
2 Large 15"" Specialty Pizzas
$59.00 ->

Manager's Special
2 Large 15"" 2 Topping Pizzas
$42.00 ->

Family Value #1
2 Small 10"" 2 Topping Pizzas plus salad and breadsticks
$45.00 ->

Family Value #2
2 Large 15"" 2 Topping Pizzas Plus Salad and Breadsticks
$59.00","Nick's Pick: 2 Large 15"" Specialty Pizzas - $59 ->
Manager's Special: 2 Large 15"" 2-Topping Pizzas - $42 ->
Family Value #1: 2 Small 10"" 2-Topping Pizzas + Salad & Breadsticks - $45 ->
Family Value #2: 2 Small 15"" 2-Topping Pizzas + Salad & Breadsticks - $59","https://direct.chownow.com/order/8973/locations/12161?add_cn_ordering_class=true 
https://www.nicolinosrestaurant.com/lunch 
https://www.nicolinosrestaurant.com/dinner 
https://www.nicolinosrestaurant.com/wine","Total Reviews: 4202
Average Rating: 8/10","2077 Pembina Hwy, Winnipeg MB R3T 5J9, Canada","https://www.google.com/maps/dir//2077+Pembina+Hwy,+Winnipeg,+MB+R3T+5J9/@49.815543,-97.2355725,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x52ea75eb6a71e9f9:0x4b62448913f66233!2m2!1d-97.1531114!2d49.815565?entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoASAFQAw%3D%3D"
Red Swan ,https://drive.google.com/file/d/1CDMj0kFxtyszdm8qM8qE9Qj58LYdR-V3/view?usp=drive_link,https://winnipeg-southwesttuxedo.redswanpizza.ca/zgrid/proc/site/start.jsp,"Mon, Tue & Wed Special
Any 2 Medium Pizzas for $13.95 each.
Create Your Own and Alternative Choices Excluded ->


Mon & Tue Special
Buy any medium or large pizza & add any Pasta for $3.95
Create Your Own and Alternative Choices Excluded ->


Wings Wednesday Special
Buy any 8 Piece or 12 Piece Wings for $0.95 each
*Available Wednesday only. ->

Pizza, Pop & Dips $19.95
Large 2-Topper Pizza
2 Cans of Pop
2 Dips","Mon, Tue & Wed Special: Any 2 Medium Pizzas - $13.95 each (Create Your Own excluded) ->
Tue Special: Medium/Large Pizza + any Pasta - $3.95 extra (Create Your Own excluded) ->
Wings Wednesday: 12 Piece Wings - $9.95 each (Wednesday only) ->
Pizza, Pop & Chips: Large 2-Topping Pizza + 2L Pop + 2 Dips - $19.95",https://winnipeg-southwesttuxedo.redswanpizza.ca/zgrid/proc/site/sitep.jsp,"Total reviews: 561
Average Rating: 8.95/10","670 Sterling Lyon Pkwy Unit-3, Winnipeg, MB R3P 1E9","https://www.google.com/maps?rlz=1C1VDKB_enCA1146CA1146&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB4yDQgCEAAYhgMYgAQYigUyDQgDEAAYhgMYgAQYigUyDQgEEAAYhgMYgAQYigUyBggFEEUYPDIGCAYQRRg8MgYIBxBFGDzSAQgzNzAwajBqN6gCALACAA&um=1&ie=UTF-8&fb=1&gl=ca&sa=X&geocode=KTOR-uRidepSMejrnTWE0AZI&daddr=670+Sterling+Lyon+Pkwy+Unit-3,+Winnipeg,+MB+R3P+1E9"
WayBack Burger,https://drive.google.com/file/d/1NFLS0KG6J4F_Jd80RFWb6gAInYNt7vL3/view?usp=drive_link,https://waybackburgers.ca/,"Spicy Melt Combo
Two fresh, never-frozen beef patties topped with pepper jack cheese, jalapeno lime aioli and crispy onions. Served on a buttered and grilled inverted bun.
$17.48",Spicy Melt Combo: Two fresh beef patties with pepper jack - $17.48,https://wayback.order.online/store/wayback-burgers-winnipeg-1238696/?_gl=1*bl7hdh*_gcl_au*NDkwMzk5MzQ0LjE3NDA5NTczMzg.*_ga*MTU3OTE3MzEzOC4xNzQwOTU3MzM5*_ga_509201QW3K*MTc0MDk1NzMzOC4xLjEuMTc0MDk1ODAxNi4xNi4wLjIwNTQ0MzQ4OTc.&hideModal=true&pickup=true,"Total reviews: 2,804
Average Rating: 8.6/10","2864 Pembina Hwy #30, Winnipeg, MB R3T 3L9","https://www.google.com/maps/dir/University+of+Manitoba,+Chancellors+Circle,+Winnipeg,+MB/Wayback+Burgers,+Pembina+Highway+%2330,+Winnipeg,+MB/@49.7989402,-97.1694791,14z/data=!4m13!4m12!1m5!1m1!1s0x52ea75f0911e9c5f:0x5460e2841ad770fa!2m2!1d-97.1401493!2d49.8054296!1m5!1m1!1s0x52c1dfe0920ba6a9:0xb28945fcc99a9d6b!2m2!1d-97.1567098!2d49.7881631?entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoASAFQAw%3D%3D"
"La Taqueria Mexican Street Tacos",https://drive.google.com/file/d/1eu4K92fsdlhrhcsZc6y_jkdxiCBp3bch/view?usp=sharing,https://www.facebook.com/lataqueria.wpg,"
2 TACOS BEANS & RICE
Your choice of 2 tacos, beans, and red rice
CA$14.00

","TACOS, BEANS & RICE: Choice of rice, beans, and red rice - CA$14.00",https://www.facebook.com/lataqueria.wpg,"Total reviews: 535
Average Rating: 9.8/10","
1863 ness avenue, Winnipeg, MB, Canada, Manitoba","https://www.google.com/maps?rlz=1C1VDKB_enCA1146CA1146&um=1&ie=UTF-8&fb=1&gl=ca&sa=X&geocode=Kf9N7u4ic-pSMepqTsekc-n6&daddr=1863+Ness+Ave+Unit+B,+Winnipeg,+MB+R3J+0Y5"
Magic Sushi Panet,https://drive.google.com/file/d/1uRk4dMqD_Vt9YUxPaEFFVgLZKFwzQabu/view?usp=drive_link,https://magicsushi.net/,"Favorite Japanese Classic Rolls 10% Off
Salmon maki, tuna maki, tokyo maki, California. Bundles cannot be modified.
CA$29.69",Japanese Classic Rolls: 10% Off Salmon/tuna/tokyo maki & California - CA$22.69,https://direct.chownow.com/order/18872/locations/27077,"Total reviews: 2,680
Average Rating: 8.1/10","562 Keenlyside St, Winnipeg MB R2K3H2, Canada","https://www.google.com/maps?s=web&rlz=1C1VDKB_enCA1146CA1146&sca_esv=05c5c9c5b118721b&lqi=CgttYWdpYyBzdXNoaUilw-25rI-AgAhaFRAAEAEYABgBIgttYWdpYyBzdXNoaZIBEHN1c2hpX3Jlc3RhdXJhbnSqATMQATIeEAEiGsrhnq1exjubEi_sWMUh_s4jiJqWUVsuLzGCMg8QAiILbWFnaWMgc3VzaGk&phdesc=opu_SLIv2y8&vet=12ahUKEwjS4qjXy-yLAxU3G9AFHfegDVoQ1YkKegQIGRAB..i&cs=1&um=1&ie=UTF-8&fb=1&gl=ca&sa=X&geocode=KeFcEnW-cOpSMYhvnp9XzNEh&daddr=562+Keenleyside+St,+Winnipeg,+MB+R2K+3H2"
Boston Pizza,https://drive.google.com/file/d/1XIesyFrkL0Nqvt8Qwo6FqAwq01EwpUjE/view?usp=drive_link,https://bostonpizza.com/kenaston,Delicious Pasta Deals. Every Tuesday. Starting at $11.99.,Pasta Tuesdays: Delicious Pasta Deals every Tuesday starting at $11.99,https://bostonpizza.com/en/menu.html,"Total reviews:: 1,713
Average Rating: 6.9/10","1630 Kenaston Blvd, Winnipeg, MB R3P 2M6","https://www.google.com/maps?rlz=1C1VDKB_enCA1146CA1146&um=1&ie=UTF-8&fb=1&gl=ca&sa=X&geocode=KVkWYoMXdepSMbQsiUirIZu9&daddr=1630+Kenaston+Blvd,+Winnipeg,+MB+R3P+2M6"
